City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,vilyuchinsk,52.9306,158.4028,3.85,78,87,2.01,RU,1698422119
210,new norfolk,-42.7826,147.0587,7.62,98,75,1.31,AU,1698422119
211,benghazi,32.1167,20.0667,23.86,69,18,2.42,LY,1698422044
212,kamaishi,39.2667,141.8833,13.47,75,75,2.16,JP,1698422120
213,port mathurin,-19.6833,63.4167,24.89,77,78,4.03,MU,1698421978
214,baki,-7.6128,110.7839,25.84,74,65,2.88,ID,1698422122
215,paracuru,-3.41,-39.0306,28.39,53,84,6.52,BR,1698421973
216,inirida,3.8653,-67.9239,34.11,52,100,0.72,CO,1698422126
217,hermanus,-34.4187,19.2345,15.5,70,100,3.79,ZA,1698421973
218,danjiangkou,32.5428,111.5086,17.59,61,34,1.51,CN,1698422127
219,ishigaki,24.3448,124.1572,23.07,83,100,2.57,JP,1698422128
220,nsunga,-1.1439,31.3947,22.89,54,33,1.73,TZ,1698422129
221,yujing,23.1249,120.4614,23.68,83,26,1.02,TW,1698422129
222,gamba,-2.65,10.0,24.87,86,100,1.5,GA,1698422129
223,san jose,37.3394,-121.895,12.62,62,20,2.57,US,1698421953
224,isangel,-19.55,169.2667,23.95,93,88,3.54,VU,1698422131
225,gizo,-8.103,156.8419,26.98,77,100,3.42,SB,1698422131
226,new kingman-butler,35.265,-114.0323,17.88,56,0,2.57,US,1698422132
227,zell im wiesental,47.7056,7.8525,13.33,78,29,2.99,DE,1698422132
228,port lincoln,-34.7333,135.8667,17.5,37,100,4.57,AU,1698422133
229,likiep,9.8251,169.3107,28.22,75,36,3.59,MH,1698422133
230,akureyri,65.6835,-18.0878,-0.04,93,75,1.03,IS,1698422134
231,constantia,44.1833,28.65,23.38,62,100,5.26,RO,1698422135
232,akrehamn,59.2667,5.1833,7.45,70,75,1.54,NO,1698422135
233,broome,42.2506,-75.833,24.14,63,0,3.6,US,1698422136
234,kambove,-10.8764,26.5969,20.26,68,95,3.42,CD,1698422136
235,aflou,34.1128,2.1023,20.29,31,71,6.27,DZ,1698422137
236,amga,60.8953,131.9608,-14.77,99,90,1.09,RU,1698421965
237,subusub,16.227,120.4947,24.17,91,75,1.77,PH,1698422138
238,constitucion,-35.3333,-72.4167,13.85,71,79,3.27,CL,1698422138
239,charters towers,-20.1,146.2667,18.94,94,4,4.07,AU,1698422139
240,tlaltenango de sanchez roman,21.7833,-103.3167,23.23,56,56,1.8,MX,1698422139
241,kenora,49.8167,-94.4337,-1.46,93,100,4.12,CA,1698422140
242,minas de marcona,-15.2119,-75.1103,18.98,65,77,3.93,PE,1698422140
243,al jubayl,27.0112,49.6583,27.51,50,0,5.13,SA,1698422141
244,nemuro,43.3236,145.575,11.17,79,100,2.21,JP,1698422141
245,boac,13.4463,121.84,27.15,82,10,3.93,PH,1698422142
246,ayapel,8.3137,-75.1398,25.9,88,98,2.2,CO,1698422142
247,huron,41.1501,-82.5499,22.97,66,18,8.08,US,1698422143
248,kayangel,8.0823,134.7173,28.21,72,100,2.09,PW,1698422144
249,mumford,5.2618,-0.759,27.43,77,18,4.17,GH,1698422144
250,challapata,-18.9,-66.7667,16.21,24,94,6.1,BO,1698422144
251,mariehamn,60.0973,19.9348,3.23,87,75,2.06,AX,1698422145
252,newman,37.3138,-121.0208,9.46,66,45,0.89,US,1698422145
253,neusiedl am see,47.9357,16.8325,14.95,70,96,7.68,AT,1698422146
254,morondava,-20.2833,44.2833,26.41,69,1,8.05,MG,1698422147
255,udachny,66.4167,112.4,-8.64,92,100,9.76,RU,1698422148
256,dunedin,-45.8742,170.5036,7.67,65,51,6.26,NZ,1698422014
257,santa ana,33.7456,-117.8678,18.22,85,75,2.57,US,1698421925
258,segezha,63.7415,34.3222,-1.73,70,84,3.72,RU,1698422149
259,korsakov,46.6328,142.7813,1.91,69,46,3.13,RU,1698422150
260,bandar lampung,-5.4254,105.258,24.14,92,8,1.39,ID,1698422151
261,howard springs,-12.497,131.047,29.9,82,21,2.09,AU,1698422151
262,piti village,13.4626,144.6933,28.03,94,20,0.0,GU,1698422152
263,winnemucca,40.973,-117.7357,-7.97,79,0,2.06,US,1698422152
264,saint-joseph,-21.3667,55.6167,24.21,84,69,0.39,RE,1698422153
265,bahia de caraquez,-0.6,-80.4167,27.1,72,95,3.0,EC,1698422153
266,maun,-19.9833,23.4167,35.98,16,40,9.26,BW,1698422154
267,santana,-0.0583,-51.1817,34.1,55,40,3.6,BR,1698422154
268,at taj,24.2049,23.2857,26.27,22,1,1.95,LY,1698422155
269,ulanhot,46.0833,122.0833,4.11,33,1,0.7,CN,1698422155
270,lincheng,19.9078,109.6858,24.82,92,81,3.67,CN,1698422156
271,kyshtovka,56.555,76.6271,-2.59,79,12,7.15,RU,1698422156
272,beyla,8.6833,-8.6333,27.23,65,51,2.28,GN,1698422157
273,aleksandrovsk-sakhalinskiy,50.8975,142.1561,0.87,72,9,1.31,RU,1698422158
274,dali,25.7,100.1833,12.06,73,0,1.85,CN,1698422158
275,aral,40.5156,81.2636,16.07,20,100,2.8,CN,1698422159
276,robore,-18.3333,-59.75,33.05,58,20,7.72,BO,1698422159
277,jamestown,42.097,-79.2353,21.77,64,20,5.66,US,1698421949
278,lerwick,60.1545,-1.1494,8.0,71,100,3.77,GB,1698422160
279,bodaybo,57.8506,114.1933,1.34,76,100,0.89,RU,1698422161
280,tsiombe,-25.3,45.4833,21.72,71,2,5.29,MG,1698422162
281,manggar,-2.8833,108.2667,27.61,74,87,3.55,ID,1698422163
282,vernon,50.2581,-119.2691,-1.33,65,14,1.03,CA,1698422164
283,mata-utu,-13.2816,-176.1745,27.01,78,85,7.88,WF,1698422164
284,bontang,0.1333,117.5,27.13,78,39,1.25,ID,1698422165
285,tazovsky,67.4667,78.7,-14.36,92,87,7.2,RU,1698422165
286,protaras,35.0125,34.0583,26.66,85,2,1.66,CY,1698422166
287,tinogasta,-28.0632,-67.5649,26.94,22,0,3.48,AR,1698422166
288,bhayavadar,21.85,70.25,27.43,42,68,1.83,IN,1698422167
289,tolanaro,-25.0319,46.9987,24.04,73,40,8.23,MG,1698422168
290,morehead city,34.7229,-76.726,25.57,76,0,1.79,US,1698422000
291,sainte-anne-des-monts,49.124,-66.4924,7.93,93,100,4.12,CA,1698422169
292,rundu,-17.9333,19.7667,35.54,15,77,2.16,NA,1698422109
293,saldanha,-33.0117,17.9442,19.03,69,23,9.91,ZA,1698422171
294,bogalusa,30.791,-89.8487,27.66,78,0,1.54,US,1698422173
295,rexburg,43.826,-111.7897,-0.81,76,75,0.0,US,1698422173
296,choyr,46.3611,108.3611,5.03,32,88,1.83,MN,1698422174
297,feodosiya,45.0333,35.3833,17.2,89,100,5.34,UA,1698422175
298,kasane,-17.8167,25.15,35.12,12,5,4.21,BW,1698422175
299,kyabe,9.4515,18.9449,27.31,66,59,2.15,TD,1698422175
300,sitka,57.0531,-135.33,1.94,69,40,2.06,US,1698422176
301,al burayqah,30.4062,19.5739,23.97,67,0,3.17,LY,1698422177
302,sabang,5.8933,95.3214,28.04,76,88,4.84,ID,1698422178
303,el sauzal de rodriguez,31.9,-116.6833,16.9,81,52,1.35,MX,1698422178
304,castillos,-34.1667,-53.8333,21.32,42,33,2.88,UY,1698422178
305,lihue,21.9789,-159.3672,21.58,73,0,3.6,US,1698422179
306,guatajiagua,13.6667,-88.2,26.96,67,62,0.13,SV,1698422179
307,kaohsiung,22.6163,120.3133,26.97,78,75,4.12,TW,1698422180
308,borovskoy,53.8,64.15,-2.17,61,100,2.59,KZ,1698422181
309,haiku-pauwela,20.9219,-156.3051,23.91,83,0,0.0,US,1698421899
310,rio grande,-32.035,-52.0986,24.06,62,0,5.48,BR,1698422061
311,bereznik,62.8551,42.7072,-3.4,80,79,2.64,RU,1698422182
312,tlahualilo de zaragoza,26.1167,-103.45,25.36,54,1,1.53,MX,1698422183
313,ad dabbah,18.05,30.95,35.29,15,6,3.41,SD,1698422183
314,severo-yeniseyskiy,60.3725,93.0408,-5.79,76,100,8.05,RU,1698422184
315,bonthe,7.5264,-12.505,28.85,70,39,3.56,SL,1698422184
316,khorixas,-20.3667,14.9667,28.23,25,70,7.93,NA,1698422185
317,mantua,45.1667,10.7833,20.61,79,3,0.89,IT,1698422185
318,woolgoolga,-30.1106,153.2007,12.93,74,95,7.13,AU,1698422186
319,al kharijah,25.4514,30.5464,30.69,27,97,4.84,EG,1698422186
320,esperanza,19.5847,-70.9849,27.32,83,34,1.34,DO,1698422187
321,mugia,43.1041,-9.2179,17.73,76,100,11.31,ES,1698422188
322,rawson,-43.3002,-65.1023,19.16,26,0,11.32,AR,1698422188
323,sao caetano de odivelas,-0.75,-48.02,32.94,50,8,6.68,BR,1698422189
324,ewo,-0.8725,14.8206,24.93,84,97,2.32,CG,1698422190
325,rio branco,-9.9747,-67.81,34.34,52,75,4.12,BR,1698421925
326,gjovik,60.7947,10.6929,-0.32,65,99,0.62,NO,1698422191
327,yung shue wan,22.2333,114.1167,26.68,81,17,1.34,HK,1698422191
328,san gil,6.5557,-73.1331,20.17,94,100,0.31,CO,1698422192
329,talagang,32.9297,72.4158,24.31,34,18,1.53,PK,1698422192
330,lautoka,-17.6167,177.4667,24.92,69,75,3.6,FJ,1698422193
331,richards bay,-28.783,32.0377,22.34,86,19,6.18,ZA,1698422056
332,ola,59.5833,151.2833,-1.71,71,100,3.87,RU,1698422194
333,jinchang,38.4953,102.1739,11.59,25,0,1.89,CN,1698422195
334,lompoc,34.6391,-120.4579,17.1,83,20,7.6,US,1698422196
335,jambi city,-1.6,103.6167,24.74,79,93,1.49,ID,1698422196
336,shimoda,34.6667,138.95,16.72,65,14,4.26,JP,1698422197
337,yulinshi,38.2906,109.7494,13.16,41,1,2.68,CN,1698422198
338,toktogul,41.8708,72.9402,11.98,77,95,0.39,KG,1698422198
339,donja mahala,45.0469,18.6664,15.72,78,83,4.12,BA,1698422199
340,fort wellington,6.4,-57.6,31.39,60,98,4.92,GY,1698422199
341,taltal,-25.4,-70.4833,16.57,70,12,3.13,CL,1698422200
342,copiapo,-27.3667,-70.3333,15.83,43,36,1.24,CL,1698422200
343,daxing,39.7214,116.3292,7.98,33,0,0.4,CN,1698422201
344,la ronge,55.1001,-105.2842,-4.86,86,75,2.06,CA,1698421979
345,panauti,27.5814,85.5124,16.18,82,20,1.54,NP,1698422202
346,tukrah,32.5341,20.5791,23.28,73,24,2.44,LY,1698422203
347,torghay,49.6339,63.4981,2.82,48,100,4.03,KZ,1698422203
348,salavan,15.7167,106.4167,22.91,97,99,0.9,LA,1698422204
349,emerald,-23.5333,148.1667,15.75,33,0,7.97,AU,1698422085
350,kununurra,-15.7667,128.7333,20.99,49,76,0.0,AU,1698422205
351,wafangdian,39.6183,122.0081,9.88,78,0,0.84,CN,1698422205
352,jabat,7.75,168.9751,28.37,73,71,2.78,MH,1698422205
353,tuy hoa,13.0833,109.3,25.21,92,58,1.58,VN,1698422206
354,yaren,-0.5472,166.916,28.02,69,97,1.76,NR,1698422207
355,fyodorovka,53.6314,62.7078,-2.0,63,100,2.71,KZ,1698422207
356,iwanai,42.9744,140.5089,10.03,96,79,1.81,JP,1698422208
357,lazaro cardenas,17.9583,-102.2,27.5,77,94,0.38,MX,1698422208
358,al bawiti,28.3492,28.8659,27.15,26,0,4.23,EG,1698422208
359,ushtobe,45.2514,77.9838,8.11,51,100,3.12,KZ,1698422209
360,margate,51.3813,1.3862,13.83,78,57,1.79,GB,1698422143
361,palpa,-14.5336,-75.1856,26.63,46,30,3.53,PE,1698422210
